FICHIER :;e:\13-14\ORAL 2012\comax\excel\Kp3000-wc3000.eposacq
Date :;24/04/2014
Heure :;13:44:58

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
102 mesures avec période de 50.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur;
;ms;;rpm;rpm;mA;
         0;       0,0;;         0;         0;         0;
         1;      50,0;;         0;         0;         0;
         2;     100,0;;         0;         0;         0;
         3;     150,0;;         0;         0;         0;
         4;     200,0;;         0;         0;         0;
         5;     250,0;;         0;         0;         0;
         6;     300,0;;         0;         0;         0;
         7;     350,0;;         0;         0;         0;
         8;     400,0;;         0;         0;         0;
         9;     450,0;;         0;         0;         0;
        10;     500,0;;      3000;       548;      7463;
        11;     550,0;;      3000;      1852;      4470;
        12;     600,0;;      3000;      2331;      3224;
        13;     650,0;;      3000;      2369;      4125;
        14;     700,0;;      3000;      2345;      4026;
        15;     750,0;;      3000;      2420;      3510;
        16;     800,0;;      3000;      2370;      4103;
        17;     850,0;;      3000;      2406;      3551;
        18;     900,0;;      3000;      2376;      4103;
        19;     950,0;;      3000;      2357;      3982;
        20;    1000,0;;      3000;      2370;      3951;
        21;    1050,0;;      3000;      2343;      4145;
        22;    1100,0;;      3000;      2355;      3995;
        23;    1150,0;;      3000;      2354;      4016;
        24;    1200,0;;      3000;      2365;      3920;
        25;    1250,0;;      3000;      2364;      3986;
        26;    1300,0;;      3000;      2360;      3999;
        27;    1350,0;;      3000;      2352;      4059;
        28;    1400,0;;      3000;      2354;      4031;
        29;    1450,0;;      3000;      2343;      4136;
        30;    1500,0;;      3000;      2350;      4014;
        31;    1550,0;;      3000;      2358;      3988;
        32;    1600,0;;      3000;      2372;      3893;
        33;    1650,0;;      3000;      2371;      3948;
        34;    1700,0;;      3000;      2371;      3943;
        35;    1750,0;;      3000;      2370;      3925;
        36;    1800,0;;      3000;      2381;      3819;
        37;    1850,0;;      3000;      2394;      3735;
        38;    1900,0;;      3000;      2411;      3630;
        39;    1950,0;;      3000;      2421;      3575;
        40;    2000,0;;      3000;      2430;      3563;
        41;    2050,0;;      3000;      2427;      3599;
        42;    2100,0;;      2700;      2414;      3643;
        43;    2150,0;;         0;       946;       564;
        44;    2200,0;;         0;       -69;      2575;
        45;    2250,0;;         0;      -289;      1726;
        46;    2300,0;;         0;      -274;      1808;
        47;    2350,0;;         0;      -318;      2031;
        48;    2400,0;;         0;      -296;      1865;
        49;    2450,0;;         0;      -304;      1854;
        50;    2500,0;;         0;      -299;      1909;
        51;    2550,0;;         0;      -309;      1886;
        52;    2600,0;;         0;      -297;      1868;
        53;    2650,0;;         0;      -310;      1965;
        54;    2700,0;;         0;      -289;      1757;
        55;    2750,0;;         0;      -293;      1857;
        56;    2800,0;;         0;      -290;      1774;
        57;    2850,0;;         0;      -289;      1812;
        58;    2900,0;;         0;      -287;      1777;
        59;    2950,0;;         0;      -281;      1758;
        60;    3000,0;;         0;      -289;      1817;
        61;    3050,0;;         0;      -283;      1759;
        62;    3100,0;;         0;      -280;      1726;
        63;    3150,0;;         0;      -287;      1809;
        64;    3200,0;;         0;      -284;      1762;
        65;    3250,0;;         0;      -287;      1812;
        66;    3300,0;;         0;      -281;      1732;
        67;    3350,0;;         0;      -283;      1778;
        68;    3400,0;;         0;      -279;      1709;
        69;    3450,0;;         0;      -276;      1727;
        70;    3500,0;;         0;      -275;      1734;
        71;    3550,0;;         0;      -275;      1713;
        72;    3600,0;;         0;      -271;      1690;
        73;    3650,0;;         0;      -272;      1701;
        74;    3700,0;;         0;      -269;      1680;
        75;    3750,0;;         0;      -276;      1718;
        76;    3800,0;;         0;      -276;      1720;
        77;    3850,0;;         0;      -274;      1727;
        78;    3900,0;;         0;      -277;      1712;
        79;    3950,0;;         0;      -283;      1782;
        80;    4000,0;;         0;      -280;      1723;
        81;    4050,0;;         0;      -284;      1799;
        82;    4100,0;;         0;      -286;      1800;
        83;    4150,0;;         0;      -293;      1842;
        84;    4200,0;;         0;      -294;      1850;
        85;    4250,0;;         0;      -290;      1785;
        86;    4300,0;;         0;      -295;      1849;
        87;    4350,0;;         0;      -287;      1762;
        88;    4400,0;;         0;      -285;      1784;
        89;    4450,0;;         0;      -283;      1772;
        90;    4500,0;;         0;      -286;      1801;
        91;    4550,0;;         0;      -279;      1744;
        92;    4600,0;;         0;      -281;      1749;
        93;    4650,0;;         0;      -281;      1734;
        94;    4700,0;;         0;      -284;      1768;
        95;    4750,0;;         0;      -287;      1791;
        96;    4800,0;;         0;      -286;      1782;
        97;    4850,0;;         0;      -290;      1832;
        98;    4900,0;;         0;      -286;      1793;
        99;    4950,0;;         0;      -288;      1800;
       100;    5000,0;;         0;      -289;      1779;
       101;    5050,0;;         0;      -285;      1777;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3000;0;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

