FICHIER :;e:\13-14\ORAL 2012\comax\excel\Kp3000-Ki90-wc3000.eposacq
Date :;24/04/2014
Heure :;14:38:44

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
102 mesures avec période de 50.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur;
;ms;;rpm;rpm;mA;
         0;       0,0;;         0;         0;         0;
         1;      50,0;;         0;         0;         0;
         2;     100,0;;         0;         0;         0;
         3;     150,0;;         0;         0;         0;
         4;     200,0;;         0;         0;         0;
         5;     250,0;;         0;         0;         0;
         6;     300,0;;         0;         0;         0;
         7;     350,0;;         0;         0;         0;
         8;     400,0;;         0;         0;         0;
         9;     450,0;;         0;         0;         0;
        10;     500,0;;      1600;        33;      3971;
        11;     550,0;;      3000;      1283;      7458;
        12;     600,0;;      3000;      2608;      3988;
        13;     650,0;;      3000;      3011;      3308;
        14;     700,0;;      3000;      2960;      4527;
        15;     750,0;;      3000;      3022;      3500;
        16;     800,0;;      3000;      3038;      3767;
        17;     850,0;;      3000;      2971;      4195;
        18;     900,0;;      3000;      3010;      3783;
        19;     950,0;;      3000;      2964;      4341;
        20;    1000,0;;      3000;      2983;      4060;
        21;    1050,0;;      3000;      2991;      4119;
        22;    1100,0;;      3000;      3008;      3922;
        23;    1150,0;;      3000;      3004;      4059;
        24;    1200,0;;      3000;      2994;      4084;
        25;    1250,0;;      3000;      2987;      4168;
        26;    1300,0;;      3000;      2989;      4160;
        27;    1350,0;;      3000;      2995;      4124;
        28;    1400,0;;      3000;      3014;      3926;
        29;    1450,0;;      3000;      3014;      3967;
        30;    1500,0;;      3000;      3003;      4050;
        31;    1550,0;;      3000;      3012;      3886;
        32;    1600,0;;      3000;      3022;      3799;
        33;    1650,0;;      3000;      3033;      3671;
        34;    1700,0;;      3000;      3034;      3584;
        35;    1750,0;;      3000;      3026;      3612;
        36;    1800,0;;      2800;      3005;      3727;
        37;    1850,0;;         0;      1450;       199;
        38;    1900,0;;         0;       249;      2718;
        39;    1950,0;;         0;        -7;      2457;
        40;    2000,0;;         0;         0;      2363;
        41;    2050,0;;         0;        -7;      2409;
        42;    2100,0;;         0;        -1;      2386;
        43;    2150,0;;         0;        -1;      2387;
        44;    2200,0;;         0;         0;      2387;
        45;    2250,0;;         0;        -1;      2390;
        46;    2300,0;;         0;         0;      2384;
        47;    2350,0;;         0;        -1;      2396;
        48;    2400,0;;         0;         0;      2389;
        49;    2450,0;;         0;         0;      2389;
        50;    2500,0;;         0;         0;      2389;
        51;    2550,0;;         0;         0;      2389;
        52;    2600,0;;         0;         0;      2389;
        53;    2650,0;;         0;         0;      2389;
        54;    2700,0;;         0;         0;      2389;
        55;    2750,0;;         0;         0;      2389;
        56;    2800,0;;         0;         0;      2389;
        57;    2850,0;;         0;         0;      2389;
        58;    2900,0;;         0;         0;      2389;
        59;    2950,0;;         0;         0;      2389;
        60;    3000,0;;         0;         0;      2389;
        61;    3050,0;;         0;         0;      2389;
        62;    3100,0;;         0;         0;      2389;
        63;    3150,0;;         0;         0;      2389;
        64;    3200,0;;         0;         0;      2389;
        65;    3250,0;;         0;         0;      2389;
        66;    3300,0;;         0;         0;      2389;
        67;    3350,0;;         0;         0;      2389;
        68;    3400,0;;         0;         0;      2389;
        69;    3450,0;;         0;         0;      2389;
        70;    3500,0;;         0;         0;      2389;
        71;    3550,0;;         0;         0;      2389;
        72;    3600,0;;         0;         0;      2389;
        73;    3650,0;;         0;         0;      2389;
        74;    3700,0;;         0;         0;      2389;
        75;    3750,0;;         0;         0;      2389;
        76;    3800,0;;         0;         0;      2389;
        77;    3850,0;;         0;         0;      2389;
        78;    3900,0;;         0;         0;      2389;
        79;    3950,0;;         0;         0;      2389;
        80;    4000,0;;         0;         0;      2389;
        81;    4050,0;;         0;         0;      2389;
        82;    4100,0;;         0;         0;      2389;
        83;    4150,0;;         0;         0;      2389;
        84;    4200,0;;         0;         0;      2389;
        85;    4250,0;;         0;         0;      2389;
        86;    4300,0;;         0;         0;      2389;
        87;    4350,0;;         0;         0;      2389;
        88;    4400,0;;         0;         0;      2389;
        89;    4450,0;;         0;         0;      2389;
        90;    4500,0;;         0;         0;      2389;
        91;    4550,0;;         0;         0;      2389;
        92;    4600,0;;         0;         0;      2389;
        93;    4650,0;;         0;         0;      2389;
        94;    4700,0;;         0;         0;      2389;
        95;    4750,0;;         0;         0;      2389;
        96;    4800,0;;         0;         0;      2390;
        97;    4850,0;;         0;         0;      2389;
        98;    4900,0;;         0;         0;      2389;
        99;    4950,0;;         0;         0;      2389;
       100;    5000,0;;         0;         0;      2389;
       101;    5050,0;;         0;         0;      2389;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3000;90;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

